,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountTotalLine,CountTotalLOC,JavaFiles,Packages,framework,sample,watcher,watcher_repo,total_duplicated_lines,total_occurrences,mean_duplicated_lines,occurrences_mean
41064,0.9206349206349206,0.9206349206349206,0.9206349206349206,0.9206349206349206,1.0740740740740742,0.0105820105820105,1.0476190476190477,0.0158730158730158,1.0,0.0105820105820105,0.0105820105820105,0.0,189.0,0.0,28.835978835978835,0.0,0.0,0.0,0.9312169312169312,0.0,0.9312169312169312,0.9312169312169312,0.0,0.9153439153439152,0.0052910052910052,0.0105820105820105,0.0,191.6084656084656,1.7195767195767195,65.58730158730158,63.27513227513227,59.116402116402114,124.3068783068783,0.0,0.0,0.0,57.94179894179894,61.47619047619048,61.17460317460318,0.3015873015873015,0.0,0.0,0.0,0.0,0.0,0.9206349206349206,0.9206349206349206,0.9206349206349206,0.9206349206349206,0.0,1.0052910052910051,0.0,0.0,0.0,0.0,0.1441269841269841,0.9312169312169312,0.9312169312169312,0.9312169312169312,0.9312169312169312,12396.0,36214.0,31.0,36.0,googlearchive,googlearchive/android-AutofillFramework,pritesh25,pritesh25/GUIDs,3933.0,1270.0,178.77272727272728,57.72727272727273
41078,0.9303482587064676,0.9303482587064676,0.9303482587064676,0.9253731343283582,1.4477611940298507,0.1890547263681592,1.2537313432835822,0.0049751243781094,1.0,0.0248756218905472,0.0248756218905472,0.0,201.0,0.0,27.786069651741293,0.0,0.0,0.0,0.9253731343283582,0.0,0.9253731343283582,0.9253731343283582,0.0,0.9054726368159204,0.0049751243781094,0.0149253731343283,0.0,182.06467661691545,1.8706467661691544,63.33830845771144,61.19900497512438,56.92039800995025,116.85572139303484,0.0,0.0,0.0,55.776119402985074,59.318407960199,59.24378109452736,0.0746268656716417,0.0,0.0,0.0,0.0,0.0,0.9303482587064676,0.9303482587064676,0.9303482587064676,0.9253731343283582,0.0,1.0099502487562189,0.0049751243781094,0.0,0.0,0.0,0.1349751243781094,0.9303482587064676,0.9303482587064676,0.9303482587064676,0.9253731343283582,12731.0,36595.0,32.0,37.0,googlearchive,googlearchive/android-AutofillFramework,pritesh25,pritesh25/PaletteExample,3933.0,1270.0,178.77272727272728,57.72727272727273
41088,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9365079365079364,1.3333333333333333,0.0119047619047619,1.2857142857142858,0.0198412698412698,1.007936507936508,0.1309523809523809,0.1309523809523809,0.0,257.0,0.0,23.0,0.0,0.0,0.0,1.261904761904762,0.238095238095238,1.261904761904762,1.261904761904762,0.0,0.8928571428571429,0.0119047619047619,0.3571428571428571,0.0,125.28968253968254,2.2777777777777777,55.98015873015873,51.47619047619048,48.54761904761905,67.03174603174604,0.0,0.0,0.0,47.57142857142857,51.59920634920635,50.18253968253968,1.4166666666666667,0.0,0.0,0.0,0.0,0.0,1.0238095238095235,1.0238095238095235,1.0396825396825398,0.9523809523809524,0.0,1.0634920634920637,0.0357142857142857,0.0,3.361111111111111,3.2976190476190474,0.0940873015873016,1.4404761904761905,1.4404761904761905,1.4801587301587302,1.2777777777777777,14107.0,31573.0,41.0,39.0,googlearchive,googlearchive/android-AutofillFramework,pritesh25,pritesh25/RippleEffect,3941.0,1299.0,171.34782608695653,56.47826086956522
41091,0.963076923076923,0.963076923076923,0.963076923076923,0.9446153846153846,2.6738461538461538,0.1476923076923077,2.4923076923076923,0.0338461538461538,1.0123076923076924,0.5015384615384615,0.5015384615384615,0.0,326.0,0.0338461538461538,30.006153846153847,0.0,0.0,0.0,1.0923076923076922,0.0215384615384615,1.126153846153846,1.126153846153846,0.003076923076923,0.76,0.0523076923076923,0.3107692307692307,0.0,174.07384615384615,2.003076923076923,69.80923076923077,65.6,63.22461538461538,102.31076923076922,0.0,0.0,0.0,61.175384615384615,64.74153846153847,63.8,0.9415384615384615,0.0,0.0,0.0,0.0,0.0,0.9815384615384616,0.9815384615384616,0.9815384615384616,0.9446153846153846,0.0,1.1784615384615384,0.0246153846153846,0.0,0.7230769230769231,0.7230769230769231,0.0773846153846153,1.166153846153846,1.166153846153846,1.166153846153846,1.126153846153846,22688.0,56574.0,66.0,55.0,googlearchive,googlearchive/android-AutofillFramework,pritesh25,pritesh25/shared-element-transitions,6961.0,1444.0,188.13513513513513,39.027027027027025
41093,0.959731543624161,0.959731543624161,0.959731543624161,0.9395973154362416,1.6375838926174495,0.1208053691275167,1.429530201342282,0.0704697986577181,1.0033557046979866,0.1577181208053691,0.1577181208053691,0.0,300.0,0.0033557046979865,33.36577181208054,0.0,0.0,0.0,1.070469798657718,0.1442953020134228,1.0738255033557047,1.0738255033557047,0.0167785234899328,0.906040268456376,0.0134228187919463,0.1375838926174496,0.0,185.8020134228188,2.3523489932885906,76.43624161073825,72.89261744966443,69.31543624161074,107.03355704697988,0.0,0.0,0.0,67.91275167785236,71.74496644295301,70.86241610738254,0.8825503355704698,0.0,0.0,0.0,0.0,0.0,0.9798657718120806,0.9798657718120806,0.9798657718120806,0.9395973154362416,0.0,1.0436241610738255,0.0402684563758389,0.0,1.5906040268456376,1.5268456375838926,0.0867785234899328,1.12751677852349,1.12751677852349,1.12751677852349,1.0738255033557047,22778.0,55369.0,48.0,54.0,googlearchive,googlearchive/android-AutofillFramework,pritesh25,pritesh25/SSFood,5720.0,1406.0,190.66666666666666,46.86666666666667
41411,0.5526315789473685,0.4789473684210526,0.5684210526315789,0.2421052631578947,2.994736842105264,0.1526315789473684,2.542105263157895,0.2684210526315789,1.0421052631578946,0.4578947368421052,0.4578947368421052,0.0631578947368421,193.0,0.1684210526315789,29.673684210526314,0.0,0.0,0.0,1.326315789473684,0.8263157894736842,1.4947368421052631,2.068421052631579,0.0,0.1947368421052631,0.2578947368421053,1.0421052631578946,0.0,237.26315789473685,3.963157894736842,81.65789473684211,67.28421052631579,71.06315789473685,151.83157894736843,0.0,0.0,0.0,66.63157894736842,71.17894736842105,63.73684210526316,7.442105263157894,0.0,0.0,0.0,0.0,0.0,1.068421052631579,0.9263157894736842,1.131578947368421,0.2684210526315789,0.0,1.2210526315789474,0.3578947368421052,0.0,8.626315789473685,7.4,0.2784210526315789,2.921052631578948,2.652631578947368,3.026315789473684,1.4842105263157894,15515.0,45080.0,55.0,34.0,googlearchive,googlearchive/android-AutofillFramework,yufeilong92,yufeilong92/ActivityUiDialog_baiduTT,2116.0,1230.0,111.36842105263158,64.73684210526316
41441,0.6623376623376623,0.5714285714285714,0.6753246753246753,0.3506493506493506,3.5324675324675323,0.0519480519480519,2.961038961038961,0.4675324675324675,1.103896103896104,0.6883116883116883,0.6883116883116883,0.0779220779220779,80.0,0.1688311688311688,56.25974025974026,0.0,0.0,0.0,2.0,0.974025974025974,2.168831168831169,3.3376623376623376,0.0,0.4545454545454545,0.2727272727272727,1.4415584415584417,0.0,478.75324675324674,4.12987012987013,139.9090909090909,124.9090909090909,126.7922077922078,335.3246753246753,0.0,0.0,0.0,120.97402597402598,126.15584415584416,118.1038961038961,8.051948051948052,0.0,0.0,0.0,0.0,0.0,1.4155844155844155,1.181818181818182,1.4545454545454546,0.4675324675324675,0.0,1.2597402597402598,0.4285714285714285,0.0,12.311688311688313,9.896103896103895,0.6346753246753247,3.805194805194805,3.51948051948052,3.844155844155844,2.311688311688312,10773.0,36864.0,36.0,22.0,googlearchive,googlearchive/android-AutofillFramework,yufeilong92,yufeilong92/baidudemo,2021.0,1127.0,112.27777777777777,62.611111111111114
41448,0.5561497326203209,0.481283422459893,0.5775401069518716,0.2299465240641711,3.0267379679144386,0.1550802139037433,2.5828877005347595,0.2780748663101604,1.0427807486631016,0.4545454545454545,0.4545454545454545,0.053475935828877,190.0,0.1711229946524064,30.155080213903744,0.0,0.0,0.0,1.2352941176470589,0.8235294117647058,1.4064171122994653,1.7967914438502677,0.0,0.1871657754010695,0.2566844919786096,0.962566844919786,0.0,240.22459893048128,3.839572192513369,82.4812834224599,68.16577540106952,72.07486631016043,154.11764705882354,0.0,0.0,0.0,67.63636363636364,72.15508021390374,64.64171122994652,7.5133689839572195,0.0,0.0,0.0,0.0,0.0,1.0962566844919786,0.9518716577540108,1.160427807486631,0.2566844919786096,0.0,1.1871657754010696,0.3689839572192513,0.0,8.101604278074866,6.951871657754011,0.2793582887700535,2.8823529411764706,2.609625668449198,2.989304812834225,1.39572192513369,15424.0,44922.0,52.0,33.0,googlearchive,googlearchive/android-AutofillFramework,yufeilong92,yufeilong92/baiDuYuYin,2116.0,1230.0,111.36842105263158,64.73684210526316
41693,0.1296296296296296,0.1296296296296296,0.1296296296296296,0.0925925925925925,0.9629629629629628,0.1111111111111111,0.7222222222222222,0.1481481481481481,1.0,0.1851851851851851,0.1851851851851851,0.0,54.0,0.0,75.03703703703704,0.0,0.0,0.0,0.2962962962962963,0.3148148148148148,0.2962962962962963,0.2962962962962963,0.037037037037037,0.0,0.037037037037037,0.2222222222222222,0.0,631.5,0.8518518518518519,165.40740740740742,160.66666666666666,156.46296296296296,465.5740740740741,0.0,0.0,0.0,151.24074074074073,153.40740740740742,152.22222222222223,1.1851851851851851,0.0,0.0,0.0,0.0,0.0,0.2037037037037037,0.2037037037037037,0.2037037037037037,0.0925925925925925,0.0,1.0925925925925926,0.074074074074074,0.0,2.425925925925926,2.425925925925926,0.7933333333333334,0.4444444444444444,0.4444444444444444,0.4814814814814814,0.2962962962962963,8932.0,34101.0,15.0,19.0,googlearchive,googlearchive/android-AutofillFramework,yufeilong92,yufeilong92/VerifyViewDemo,2018.0,1127.0,112.11111111111111,62.611111111111114
42216,0.8770491803278688,0.8688524590163934,0.8934426229508197,0.5819672131147541,5.639344262295082,0.3770491803278688,5.090163934426229,0.1147540983606557,1.0655737704918034,0.9344262295081968,0.9344262295081968,0.040983606557377,127.0,0.2622950819672131,35.704918032786885,0.0,0.0,0.0,2.040983606557377,1.1147540983606556,2.30327868852459,2.3852459016393444,0.0491803278688524,0.3442622950819672,0.2049180327868852,1.7049180327868851,0.0,317.0081967213115,3.1885245901639343,100.42622950819673,83.31967213114754,86.94262295081967,213.75409836065572,0.0,0.0,0.0,81.95901639344262,87.30327868852459,78.06557377049181,9.237704918032788,0.0,0.0,0.0,0.0,0.0,1.3360655737704918,1.2540983606557377,1.3688524590163935,0.680327868852459,0.0,1.4836065573770492,0.4426229508196721,0.0,16.12295081967213,14.024590163934429,0.4478688524590164,3.827868852459016,3.704918032786885,3.959016393442623,2.401639344262295,12252.0,38675.0,60.0,30.0,googlearchive,googlearchive/android-SimpleMediaPlayer,HusterYP,HusterYP/Music,392.0,8.0,98.0,2.0
42403,1.34375,1.28125,1.34375,1.03125,8.71875,0.28125,7.75,0.375,1.0625,1.78125,1.78125,0.03125,35.0,0.125,0.40625,0.0,0.0,0.0,3.0,1.21875,3.125,3.3125,0.0625,0.46875,0.34375,2.25,0.0,43.59375,5.40625,34.4375,9.375,21.375,3.8125,0.0,0.0,0.0,16.15625,22.84375,8.90625,13.9375,0.0,0.0,0.0,0.0,0.0,2.03125,1.84375,2.09375,1.25,0.0,1.90625,0.71875,0.0,24.75,23.28125,0.08375,4.875,4.6875,5.03125,3.375,1102.0,1395.0,13.0,5.0,googlearchive,googlearchive/android-SimpleMediaPlayer,lakshmignarayanan,lakshmignarayanan/extreme-video-player,233.0,10.0,46.6,2.0
