,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountTotalLine,CountTotalLOC,JavaFiles,Packages,framework,sample,watcher,watcher_repo,total_duplicated_lines,total_occurrences,mean_duplicated_lines,occurrences_mean
21534,1.2,1.1565217391304348,1.2434782608695651,0.9130434782608696,6.808695652173913,0.1565217391304348,5.817391304347826,0.7478260869565218,1.1478260869565218,1.1565217391304348,1.1565217391304348,0.1826086956521739,124.0,0.5130434782608696,0.7565217391304347,0.0,0.0,0.0,3.382608695652174,2.139130434782609,3.895652173913044,4.6,0.0695652173913043,0.4782608695652174,0.1391304347826087,3.208695652173913,0.0,57.13913043478261,7.426086956521739,43.417391304347824,15.365217391304348,24.217391304347824,6.6695652173913045,0.0,0.0,0.0,19.591304347826085,28.043478260869566,12.843478260869563,15.2,0.0,0.0,0.0,0.0,0.0,2.1826086956521737,2.008695652173913,2.382608695652174,0.982608695652174,0.0,1.6782608695652177,0.5391304347826087,0.0,17.921739130434784,16.617391304347827,0.2276521739130435,6.078260869565217,5.878260869565217,6.426086956521739,3.982608695652174,4993.0,6571.0,58.0,23.0,googlearchive,googlearchive/android-instant-apps,xiangjiaowangzi,xiangjiaowangzi/TransitionDemo,103.0,2.0,103.0,2.0
23797,1.431818181818182,1.431818181818182,1.5227272727272727,1.068181818181818,8.386363636363637,0.7045454545454546,7.25,0.1818181818181818,1.1136363636363635,1.6136363636363635,1.6136363636363635,0.0227272727272727,45.0,0.7727272727272727,1.9090909090909087,0.0,0.0,0.0,4.0227272727272725,1.9545454545454544,4.795454545454546,4.931818181818182,0.25,1.2727272727272727,0.0909090909090909,3.1818181818181817,0.0,62.04545454545455,10.045454545454543,49.61363636363637,16.613636363636363,29.65909090909091,2.75,0.0,0.0,0.0,23.068181818181817,33.0,14.545454545454543,18.454545454545453,0.0,0.0,0.0,0.0,0.0,2.1818181818181817,2.136363636363636,2.2954545454545454,1.2954545454545454,0.0,1.6590909090909092,0.9545454545454546,0.0,26.90909090909091,23.204545454545453,0.0409090909090909,7.863636363636363,7.818181818181818,8.204545454545455,5.340909090909091,2183.0,2730.0,26.0,10.0,googlearchive,googlearchive/leanback-assistant,yuliskov,yuliskov/MyVideoTube,50.0,4.0,25.0,2.0
23800,1.5896946564885497,1.549618320610687,1.736641221374046,1.0801526717557253,8.688931297709924,0.4713740458015267,7.370229007633588,0.5648854961832062,1.2557251908396947,2.734732824427481,2.734732824427481,0.1965648854961832,607.0,0.8835877862595419,1.3854961832061068,0.0,0.0,0.0,6.843511450381679,2.8435114503816794,7.727099236641221,12.001908396946565,0.2118320610687022,1.8549618320610688,0.416030534351145,5.244274809160306,0.0,106.3148854961832,14.467557251908396,81.27480916030534,26.25763358778626,50.10496183206107,11.270992366412214,0.0,0.0,0.0,35.37595419847328,52.79770992366412,20.55916030534351,32.23854961832061,0.0,0.0,0.0,0.0,0.0,3.66793893129771,3.454198473282443,4.103053435114504,1.7709923664122138,0.0,1.8091603053435117,1.1908396946564883,0.0,32.42557251908397,27.02671755725191,0.1382442748091603,15.799618320610689,15.437022900763358,17.391221374045802,9.826335877862595,42588.0,55709.0,365.0,111.0,googlearchive,googlearchive/leanback-assistant,yuliskov,yuliskov/SmartTubeNext,45.0,2.0,45.0,2.0
37953,1.12,1.08,1.16,1.0,5.6,0.24,4.44,0.76,1.16,0.84,0.84,0.08,28.0,0.76,0.44,0.0,0.0,0.0,3.56,0.76,4.32,4.8,0.04,0.36,0.44,3.48,0.0,47.08,6.56,29.84,9.4,16.2,10.76,0.0,0.0,0.0,12.68,19.92,9.48,10.44,0.0,0.0,0.0,0.0,0.0,2.32,2.12,2.4,1.24,0.0,1.68,0.52,0.0,18.68,14.44,0.3676,6.0,5.8,6.16,4.64,746.0,1177.0,18.0,14.0,googlearchive,googlearchive/android-SynchronizedNotifications,morristech,morristech/ModuleLoader,438.0,8.0,109.5,2.0
38182,1.1979166666666667,1.1770833333333333,1.21875,0.9479166666666666,7.958333333333333,0.7395833333333334,6.614583333333333,0.4375,1.2708333333333333,1.7604166666666667,1.7604166666666667,0.0208333333333333,111.0,0.5625,0.3541666666666667,0.0,0.0,0.0,2.6875,1.125,3.25,3.375,0.0104166666666666,0.1979166666666666,0.0833333333333333,2.958333333333333,0.0,42.177083333333336,7.729166666666667,30.23958333333333,9.75,17.21875,4.354166666666667,0.0,0.0,0.0,12.333333333333334,18.447916666666668,9.03125,9.416666666666666,0.0,0.0,0.0,0.0,0.0,1.6979166666666667,1.625,1.71875,0.96875,0.0,1.5729166666666667,0.4791666666666667,0.0,22.125,20.39583333333333,0.1557291666666666,4.25,4.177083333333333,4.270833333333333,3.2916666666666665,2903.0,4049.0,53.0,16.0,googlearchive,googlearchive/android-SynchronizedNotifications,tun-lin,tun-lin/HappyShop,402.0,12.0,67.0,2.0
38208,1.5833333333333333,1.5,1.5833333333333333,1.0,16.416666666666668,1.75,8.666666666666666,5.75,1.25,1.8333333333333333,1.8333333333333333,0.0833333333333333,13.0,1.75,1.1666666666666667,0.0,0.0,0.0,2.6666666666666665,0.25,4.416666666666667,5.25,0.0,0.5833333333333334,0.25,3.583333333333333,0.0,86.33333333333333,10.333333333333334,41.75,12.916666666666666,27.25,34.25,0.0,0.0,0.0,18.416666666666668,27.33333333333333,12.583333333333334,14.75,0.0,0.0,0.0,0.0,0.0,2.9166666666666665,2.5,2.9166666666666665,1.0,0.0,1.8333333333333333,0.9166666666666666,0.0,20.75,13.0,0.8791666666666668,6.916666666666667,6.5,6.916666666666667,4.416666666666667,501.0,1036.0,7.0,9.0,googlearchive,googlearchive/android-SynchronizedNotifications,mananwason,mananwason/CountSteps,339.0,6.0,113.0,2.0
39099,1.3045774647887325,1.289612676056338,1.391725352112676,0.9955985915492958,7.586267605633803,0.2068661971830986,6.683978873239437,0.5308098591549296,1.2429577464788732,3.386443661971831,3.386443661971831,0.3248239436619718,1319.0,0.3987676056338028,4.534330985915493,0.0,0.0,0.0,4.54137323943662,1.4797535211267605,4.940140845070423,13.829225352112676,0.3107394366197183,0.6875,0.3573943661971831,3.584507042253521,0.0,92.993838028169,9.924295774647888,59.40580985915493,24.654929577464788,37.30017605633803,24.176936619718308,0.0,0.0,0.0,28.839788732394368,38.9031690140845,20.72799295774648,18.175176056338028,0.0,0.0,0.0,0.0,0.0,2.273767605633803,2.2174295774647885,2.509683098591549,1.2975352112676055,0.0,1.8529929577464788,0.6830985915492958,0.0,19.192781690140844,16.908450704225352,0.302306338028169,7.929577464788732,7.783450704225352,8.481514084507042,5.257922535211268,67485.0,105641.0,687.0,128.0,googlearchive,googlearchive/android-AutofillFramework,ddwhan0123,ddwhan0123/ReactNativeDemo,828.0,25.0,207.0,6.25
39706,1.3448275862068966,1.2758620689655171,1.3448275862068966,1.0,7.896551724137931,0.2586206896551724,6.810344827586207,0.6206896551724138,1.396551724137931,2.6724137931034484,2.6724137931034484,0.0,78.0,0.2758620689655172,0.293103448275862,0.0,0.0,0.0,4.0344827586206895,0.9827586206896552,4.310344827586207,4.310344827586207,0.0344827586206896,0.4137931034482758,0.0862068965517241,3.775862068965517,0.0,51.1551724137931,7.431034482758621,38.06896551724138,10.844827586206897,21.344827586206897,5.775862068965517,0.0,0.0,0.0,14.172413793103448,22.224137931034484,8.706896551724139,13.517241379310343,0.0,0.0,0.0,0.0,0.0,2.086206896551724,1.9655172413793105,2.1724137931034484,1.0344827586206895,0.0,1.603448275862069,0.6551724137931034,0.0,20.27586206896552,17.620689655172413,0.1210344827586206,6.103448275862069,5.948275862068965,6.275862068965517,4.327586206896552,2208.0,2967.0,33.0,15.0,googlearchive,googlearchive/android-AutofillFramework,androidmalin,androidmalin/android-architecture-todomvp,42.0,2.0,42.0,2.0
40584,1.469283276450512,1.378839590443686,1.6791808873720135,0.6006825938566553,9.84470989761092,0.4215017064846416,8.044368600682594,1.4078498293515358,1.0716723549488054,1.295221843003413,1.295221843003413,0.0068259385665529,592.0,0.2901023890784983,31.04778156996587,0.0,0.0,0.0,2.0665529010238908,1.6655290102389078,2.356655290102389,2.4829351535836177,0.0187713310580204,0.2542662116040955,0.0511945392491467,2.032423208191126,0.0,198.6825938566553,5.42320819112628,104.41808873720136,72.34641638225256,90.48805460750852,90.41808873720136,0.0,0.0,0.0,80.12798634812286,87.77474402730375,69.91467576791808,17.860068259385667,0.0,0.0,0.0,0.0,0.0,2.2832764505119454,2.088737201365188,2.6109215017064846,0.863481228668942,0.0,1.363481228668942,0.6177474402730375,0.0,11.921501706484642,11.331058020477816,0.2239419795221842,5.145051194539249,4.916382252559727,5.581911262798635,2.889078498293516,61189.0,116428.0,160.0,50.0,googlearchive,googlearchive/android-AutofillFramework,ZHBoy,ZHBoy/HudProjector3,4157.0,976.0,277.1333333333333,65.06666666666666
40867,1.1428571428571428,1.1428571428571428,1.261904761904762,0.9761904761904762,6.095238095238095,0.238095238095238,5.166666666666667,0.5714285714285714,1.1428571428571428,0.8333333333333334,0.8333333333333334,0.0238095238095238,52.0,0.6666666666666666,0.2619047619047619,0.0,0.0,0.0,2.238095238095238,0.5476190476190477,2.9047619047619047,3.3095238095238093,0.0714285714285714,0.0476190476190476,0.5476190476190477,2.238095238095238,0.0,33.714285714285715,5.380952380952381,24.0,8.5,13.214285714285714,4.476190476190476,0.0,0.0,0.0,9.547619047619047,15.30952380952381,7.690476190476191,7.619047619047619,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,1.8333333333333333,1.261904761904762,0.0,1.4761904761904765,0.5476190476190477,0.0,14.761904761904765,14.11904761904762,0.3235714285714285,4.261904761904762,4.261904761904762,4.547619047619048,3.238095238095238,1008.0,1416.0,33.0,26.0,googlearchive,googlearchive/android-AutofillFramework,sohail585,sohail585/base-android-project-mvp,42.0,2.0,42.0,2.0
40951,1.477231329690346,1.395264116575592,1.5628415300546448,1.018214936247723,11.025500910746812,1.0255009107468125,7.845173041894354,1.8269581056466304,1.2167577413479054,1.7595628415300546,1.7595628415300546,0.058287795992714,614.0,0.3588342440801457,1.0801457194899815,0.0,0.0,0.0,3.877959927140255,1.852459016393443,4.236794171220401,4.801457194899818,0.1293260473588342,0.7030965391621129,0.4025500910746812,3.001821493624772,0.0,83.17486338797814,13.29872495446266,53.6775956284153,15.963570127504552,33.82149362477232,16.49544626593807,0.0,0.0,0.0,24.706739526411656,34.91074681238616,13.781420765027322,21.129326047358838,0.0,0.0,0.0,0.0,0.0,2.724954462659381,2.5027322404371586,2.947176684881603,1.296903460837887,0.0,1.7777777777777777,0.8761384335154827,0.0,22.661202185792348,20.38979963570128,0.223879781420765,7.801457194899818,7.484517304189436,8.318761384335154,4.7103825136612025,29469.0,45663.0,291.0,65.0,googlearchive,googlearchive/android-AutofillFramework,wangrling,wangrling/appscoll,100.0,6.0,33.333333333333336,2.0
41048,0.9308755760368664,0.9262672811059908,0.9308755760368664,0.9216589861751152,1.3225806451612905,0.0276497695852534,1.2350230414746544,0.0460829493087557,1.0138248847926268,0.1658986175115207,0.1658986175115207,0.0,217.0,0.0138248847926267,25.0,0.0,0.0,0.0,1.036866359447005,0.0783410138248847,1.0506912442396312,1.0506912442396312,0.0,0.8755760368663594,0.0046082949308755,0.1705069124423963,0.0,144.5299539170507,2.08294930875576,58.8294930875576,55.465437788018434,51.953917050691246,83.6221198156682,0.0,0.0,0.0,50.75115207373272,54.474654377880185,53.82027649769585,0.6543778801843319,0.0,0.0,0.0,0.0,0.0,0.967741935483871,0.967741935483871,0.967741935483871,0.9216589861751152,0.0,1.036866359447005,0.032258064516129,0.0,1.1474654377880185,1.1290322580645162,0.1271889400921659,1.1566820276497696,1.1382488479262671,1.1566820276497696,1.0506912442396312,12766.0,31363.0,38.0,38.0,googlearchive,googlearchive/android-AutofillFramework,pritesh25,pritesh25/android-content-provider,3933.0,1270.0,178.77272727272728,57.72727272727273
41052,1.0056497175141244,1.0056497175141244,1.0056497175141244,0.9943502824858758,1.2994350282485876,0.0621468926553672,1.2033898305084745,0.0282485875706214,1.0056497175141244,0.0112994350282485,0.0112994350282485,0.0,177.0,0.0,20.440677966101696,0.0,0.0,0.0,1.0112994350282485,0.0225988700564971,1.0112994350282485,1.0112994350282485,0.0,0.9717514124293786,0.0056497175141242,0.0338983050847457,0.0,48.92090395480226,1.9887005649717515,46.80790960451977,44.63276836158192,41.22598870056497,0.1242937853107344,0.0,0.0,0.0,41.18079096045198,44.86440677966102,44.6045197740113,0.2598870056497175,0.0,0.0,0.0,0.0,0.0,1.0282485875706215,1.0282485875706215,1.0282485875706215,0.9943502824858758,0.0,1.0169491525423728,0.0112994350282485,0.0,0.423728813559322,0.423728813559322,0.0146327683615819,1.0451977401129944,1.0451977401129944,1.0451977401129944,1.0112994350282485,8285.0,8659.0,31.0,35.0,googlearchive,googlearchive/android-AutofillFramework,pritesh25,pritesh25/AndroidOreoBroadcastReceiver,3933.0,1270.0,178.77272727272728,57.72727272727273
41059,0.7521367521367521,0.7521367521367521,0.7521367521367521,0.7435897435897436,0.9572649572649572,0.0256410256410256,0.9145299145299144,0.017094017094017,1.0085470085470083,0.0512820512820512,0.0512820512820512,0.0,117.0,0.0085470085470085,77.1880341880342,0.0,0.0,0.0,0.8034188034188035,0.1623931623931624,0.811965811965812,0.811965811965812,0.0,0.7606837606837606,0.0085470085470085,0.0427350427350427,0.0,443.5897435897436,1.623931623931624,166.27350427350427,163.2905982905983,157.36752136752136,275.7179487179488,0.0,0.0,0.0,154.8803418803419,158.17948717948718,157.71794871794873,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7435897435897436,0.0,1.017094017094017,0.0256410256410256,0.0,1.017094017094017,0.8290598290598291,0.355982905982906,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.811965811965812,19454.0,51900.0,21.0,16.0,googlearchive,googlearchive/android-AutofillFramework,pritesh25,pritesh25/CoordinatorBehaviorExample,1289.0,542.0,128.9,54.2
