AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountTotalLine,JavaFiles,Packages,framework,sample,watcher,watcher_repo,total_duplicated_lines,total_occurrences,mean_duplicated_lines,occurrences_mean,percentage_duplicate_loc
0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8055555555555556,4.861111111111111,0.0833333333333333,4.444444444444445,0.25,1.1944444444444444,1.2222222222222223,1.2222222222222223,0.0,41.0,0.0555555555555555,0.1666666666666666,0.0,0.0,0.0,2.805555555555556,1.25,2.861111111111111,2.861111111111111,0.0277777777777777,0.0277777777777777,0.0833333333333333,2.7222222222222223,0.0,37.97222222222222,4.555555555555555,29.194444444444443,12.444444444444445,14.0,4.416666666666667,0.0,0.0,0.0,11.11111111111111,16.194444444444443,7.916666666666667,8.277777777777779,0.0,0.0,0.0,0.0,0.0,1.2777777777777777,1.2777777777777777,1.2777777777777777,1.0277777777777777,0.0,1.3055555555555556,0.3888888888888889,0.0,19.22222222222222,17.916666666666668,0.2586111111111111,4.111111111111111,4.111111111111111,4.166666666666667,3.5277777777777777,1367.0,38.0,10.0,Spring,spring-guides/gs-uploading-files,chertpong,chertpong/example-for-boss,29.0,2.0,29.0,2.0,2.121433796634967
1.0285714285714285,1.0285714285714285,1.0285714285714285,0.8857142857142857,5.942857142857143,0.0857142857142857,5.571428571428571,0.2285714285714285,1.2285714285714286,1.3142857142857145,1.3142857142857145,0.0,40.0,0.0571428571428571,0.1714285714285714,0.0,0.0,0.0,3.142857142857143,1.3714285714285714,3.2,3.2,0.0285714285714285,0.0857142857142857,0.0857142857142857,3.0,0.0,41.885714285714286,4.885714285714286,32.82857142857143,13.771428571428572,16.34285714285714,4.485714285714286,0.0,0.0,0.0,12.942857142857145,18.571428571428573,8.942857142857143,9.628571428571428,0.0,0.0,0.0,0.0,0.0,1.542857142857143,1.542857142857143,1.542857142857143,1.1142857142857143,0.0,1.3142857142857145,0.5714285714285714,0.0,21.97142857142857,20.2,0.2291428571428571,4.6571428571428575,4.6571428571428575,4.714285714285714,3.8857142857142857,1466.0,37.0,8.0,Spring,spring-guides/gs-uploading-files,chertpong,chertpong/spring-central-service,29.0,2.0,29.0,2.0,1.9781718963165076
1.0769230769230769,1.0769230769230769,1.0769230769230769,1.0,3.8461538461538463,0.0769230769230769,3.769230769230769,0.0,1.3846153846153846,1.4615384615384617,1.4615384615384617,0.0769230769230769,18.0,0.0769230769230769,0.0,0.0,0.0,0.0,3.5384615384615383,1.3076923076923077,3.615384615384616,3.769230769230769,0.0769230769230769,0.0,0.0,3.5384615384615383,0.0,29.923076923076923,6.0,21.307692307692307,9.461538461538462,7.384615384615385,2.6923076923076925,0.0,0.0,0.0,6.615384615384615,11.76923076923077,6.230769230769231,5.538461538461538,0.0,0.0,0.0,0.0,0.0,1.1538461538461535,1.1538461538461535,1.2307692307692308,1.1538461538461535,0.0,1.2307692307692308,0.1538461538461538,0.0,16.076923076923077,15.0,0.2138461538461538,4.461538461538462,4.461538461538462,4.538461538461538,4.076923076923077,389.0,18.0,7.0,Spring,spring-guides/gs-uploading-files,TonyNYL,TonyNYL/hero,101.0,4.0,50.5,2.0,25.96401028277635
1.1428571428571428,1.1428571428571428,1.1428571428571428,1.0,4.142857142857143,0.0,4.0,0.0,1.1428571428571428,0.8571428571428571,0.8571428571428571,0.1428571428571428,8.0,0.1428571428571428,0.0,0.0,0.0,0.0,2.857142857142857,0.4285714285714285,3.0,3.2857142857142856,0.1428571428571428,0.0,0.0,2.857142857142857,0.0,25.714285714285715,4.571428571428571,21.0,7.285714285714286,8.714285714285714,0.1428571428571428,0.0,0.0,0.0,5.571428571428571,10.571428571428571,5.0,5.571428571428571,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.2857142857142858,0.0,1.4285714285714286,0.2857142857142857,0.0,4.714285714285714,2.7142857142857144,0.0014285714285714,4.571428571428571,4.571428571428571,4.714285714285714,3.857142857142857,180.0,8.0,7.0,Spring,spring-guides/gs-uploading-files,TopekoX,TopekoX/spring-boot-file-upload,118.0,6.0,39.333333333333336,2.0,65.55555555555556
1.0,1.0,1.0,0.875,3.375,0.125,3.125,0.0,1.125,1.0,1.0,0.125,10.0,0.25,0.0,0.0,0.0,0.0,2.875,0.875,3.125,3.125,0.125,0.0,0.0,3.0,0.0,23.625,4.625,18.375,7.0,7.875,0.625,0.0,0.0,0.0,6.0,11.125,5.5,5.625,0.0,0.0,0.0,0.0,0.0,1.25,1.25,1.25,1.125,0.0,1.375,0.25,0.0,15.125,10.875,0.06625,4.25,4.25,4.375,3.625,189.0,10.0,5.0,Spring,spring-guides/gs-uploading-files,zbw322092,zbw322092/static-file-server,29.0,2.0,29.0,2.0,15.343915343915343
1.0363636363636364,1.0363636363636364,1.1090909090909091,0.9818181818181818,5.672727272727273,0.0909090909090909,4.872727272727273,0.6181818181818182,1.2181818181818185,1.4545454545454546,1.4545454545454546,0.1272727272727272,61.0,0.2909090909090909,0.7636363636363637,0.0,0.0,0.0,4.581818181818182,1.9272727272727272,4.872727272727273,5.945454545454545,0.0727272727272727,0.2545454545454545,0.0181818181818181,4.527272727272727,0.0,54.67272727272727,8.89090909090909,37.92727272727273,15.10909090909091,19.09090909090909,8.254545454545454,0.0,0.0,0.0,16.29090909090909,23.454545454545453,11.090909090909092,12.363636363636363,0.0,0.0,0.0,0.0,0.0,1.6181818181818182,1.6181818181818182,1.7818181818181815,1.2727272727272727,0.0,1.4363636363636365,0.4181818181818181,0.0,24.6,22.727272727272727,0.452,6.472727272727273,6.472727272727273,6.727272727272728,5.6909090909090905,3007.0,58.0,22.0,Spring,spring-guides/gs-uploading-files,lagab,lagab/springboot-boilerplate,100.0,5.0,50.0,2.5,3.325573661456601
1.0975609756097562,1.0975609756097562,1.1219512195121952,0.8048780487804879,5.878048780487805,0.2682926829268293,5.341463414634147,0.2195121951219512,1.0975609756097562,1.6585365853658536,1.6585365853658536,0.1219512195121951,49.0,0.2195121951219512,0.2682926829268293,0.0,0.0,0.0,1.5853658536585369,2.414634146341464,1.804878048780488,1.951219512195122,0.0,0.1219512195121951,0.024390243902439,1.6585365853658536,0.0,27.04878048780488,5.073170731707317,21.21951219512195,10.46341463414634,9.170731707317072,0.8048780487804879,0.0,0.0,0.0,9.78048780487805,13.78048780487805,7.7073170731707314,6.073170731707317,0.0,0.0,0.0,0.0,0.0,1.5121951219512195,1.5121951219512195,1.5853658536585369,0.975609756097561,0.0,1.195121951219512,0.5365853658536586,0.0,16.0,14.268292682926829,0.0273170731707317,3.024390243902439,3.024390243902439,3.1951219512195124,2.048780487804878,1109.0,49.0,15.0,Spring,spring-guides/gs-uploading-files,marstalk,marstalk/hw,97.0,5.0,48.5,2.5,8.746618575293057
1.1,1.1,1.1,1.0,5.4,0.4,5.0,0.0,1.1,1.2,1.2,0.1,11.0,0.1,0.0,0.0,0.0,0.0,3.1,1.0,3.2,3.4,1.2,0.0,0.0,2.0,0.0,31.5,6.2,24.6,9.9,11.6,1.0,0.0,0.0,0.0,8.1,13.1,6.4,6.7,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,1.2,0.0,1.3,0.2,0.0,11.3,9.9,0.059,4.4,4.4,4.5,3.9,315.0,11.0,4.0,Spring,spring-guides/gs-uploading-files,davigotxi,davigotxi/spring-files-uploader,142.0,9.0,35.5,2.25,45.07936507936508
1.263157894736842,1.263157894736842,1.263157894736842,0.8947368421052632,8.473684210526315,0.5789473684210527,7.526315789473684,0.2631578947368421,1.0526315789473684,0.4210526315789473,0.4210526315789473,0.0526315789473684,20.0,0.4736842105263157,0.3157894736842105,0.0,0.0,0.0,1.894736842105263,0.3684210526315789,2.3684210526315788,2.473684210526316,0.0526315789473684,0.0526315789473684,0.1578947368421052,2.1052631578947367,0.0,31.94736842105263,4.315789473684211,23.94736842105263,8.052631578947368,13.63157894736842,3.736842105263158,0.0,0.0,0.0,10.157894736842104,15.0,6.578947368421052,8.421052631578947,0.0,0.0,0.0,0.0,0.0,1.5789473684210529,1.5789473684210529,1.5789473684210529,1.0,0.0,1.4736842105263157,0.3684210526315789,0.0,6.473684210526316,5.7368421052631575,1.2494736842105263,3.842105263157895,3.842105263157895,3.947368421052632,2.526315789473684,607.0,19.0,11.0,Spring,spring-guides/gs-uploading-files,Harry29-exe,Harry29-exe/Car_Forum,97.0,5.0,48.5,2.5,15.980230642504118
0.78125,0.78125,0.8125,0.75,3.5,0.078125,3.28125,0.078125,1.03125,1.296875,1.296875,0.40625,78.0,0.1875,0.0,0.0,0.0,0.0,3.890625,1.734375,4.078125,5.34375,0.0,0.09375,0.0,3.984375,0.0,31.625,5.84375,23.421875,10.34375,8.625,2.359375,0.0,0.0,0.0,8.453125,14.09375,7.921875,6.171875,0.0,0.0,0.0,0.0,0.0,1.046875,1.046875,1.140625,0.78125,0.0,1.453125,0.25,0.0,24.3125,22.625,0.18953125,4.765625,4.765625,4.875,4.265625,2024.0,78.0,34.0,Spring,spring-guides/gs-uploading-files,hwanseok-dev,hwanseok-dev/hwanseok-dev-cookbook-old,22.0,2.0,22.0,2.0,1.0869565217391304
